"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite","PSI 90 Composite Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
MONTEFIORE MEDICAL CENTER,330059,NY,2023,N/A,5,N/A,5,N/A,N/A,1.6090,,N/A,5,1.0860,,N/A,5,1.6550,,N/A,5,0.6610,,N/A,5,0.9230,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NIAGARA FALLS MEMORIAL MEDICAL CENTER,330065,NY,2023,N/A,5,N/A,5,N/A,N/A,2.8180,,N/A,5,1.4040,,N/A,5,N/A,13,N/A,5,0.3790,,N/A,5,0.5830,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
UNITED MEMORIAL MEDICAL CENTER,330073,NY,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.7100,,N/A,5,N/A,13,N/A,5,0.8180,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
F F THOMPSON HOSPITAL,330074,NY,2023,N/A,5,N/A,5,N/A,N/A,2.3100,,N/A,5,2.5390,,N/A,5,1.3440,,N/A,5,0.4250,,N/A,5,1.6950,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SISTERS OF CHARITY HOSPITAL,330078,NY,2023,N/A,5,N/A,5,N/A,N/A,1.1800,,N/A,5,0.1240,,N/A,5,0.6840,,N/A,5,0.5440,,N/A,5,0.7400,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,3.7880,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,2023,N/A,5,N/A,5,N/A,N/A,1.0170,,N/A,5,0.6530,,N/A,5,0.7800,,N/A,5,0.4650,,N/A,5,1.9140,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ALICE HYDE MEDICAL CENTER,330084,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.2120,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ARNOT OGDEN MEDICAL CENTER,330090,NY,2023,N/A,5,N/A,5,N/A,N/A,1.3170,,N/A,5,0.4480,,N/A,5,0.7450,,N/A,5,0.2140,,N/A,5,0.2740,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
COLUMBIA MEMORIAL HOSPITAL,330094,NY,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.7270,,N/A,5,1.5770,,N/A,5,2.5380,,N/A,5,1.6340,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
JONES MEMORIAL HOSPITAL,330096,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.2840,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NY EYE AND EAR INFIRMARY OF MOUNT SINAI,330100,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,2023,N/A,5,N/A,5,N/A,N/A,1.3460,,N/A,5,1.1160,,N/A,5,1.0110,,N/A,5,0.6770,,N/A,5,0.9980,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
KENMORE MERCY HOSPITAL,330102,NY,2023,N/A,5,N/A,5,N/A,N/A,0.3010,,N/A,5,0.1910,,N/A,5,1.2220,,N/A,5,0.6350,,N/A,5,0.5630,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
OLEAN GENERAL HOSPITAL,330103,NY,2023,N/A,5,N/A,5,N/A,N/A,1.1350,,N/A,5,0.8440,,N/A,5,0.0000,,N/A,5,1.3590,,N/A,5,0.7390,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NYACK HOSPITAL,330104,NY,2023,N/A,5,N/A,5,N/A,N/A,1.5970,,N/A,5,1.8460,,N/A,5,1.3700,,N/A,5,0.3360,,N/A,5,1.5870,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTH SHORE UNIVERSITY HOSPITAL,330106,NY,2023,N/A,5,N/A,5,N/A,N/A,0.2860,,N/A,5,0.6030,,N/A,5,0.7800,,N/A,5,0.3890,,N/A,5,0.8630,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PECONIC BAY MEDICAL CENTER,330107,NY,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.5490,,N/A,5,0.0000,,N/A,5,0.9270,,N/A,5,1.3190,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BERTRAND CHAFFEE HOSPITAL,330111,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ONEIDA HEALTH HOSPITAL,330115,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,1.1400,,N/A,5,1.3860,,N/A,5,1.1530,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
LENOX HILL HOSPITAL,330119,NY,2023,N/A,5,N/A,5,N/A,N/A,1.2030,,N/A,5,1.2210,,N/A,5,0.4090,,N/A,5,0.3940,,N/A,5,1.0860,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ROCHESTER GENERAL HOSPITAL,330125,NY,2023,N/A,5,N/A,5,N/A,N/A,1.8670,,N/A,5,1.4800,,N/A,5,1.2990,,N/A,5,0.8380,,N/A,5,0.7350,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GARNET HEALTH MEDICAL CENTER,330126,NY,2023,N/A,5,N/A,5,N/A,N/A,1.0480,,N/A,5,1.9120,,N/A,5,0.4760,,N/A,5,0.9070,,N/A,5,1.4350,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
JACOBI MEDICAL CENTER,330127,NY,2023,N/A,5,N/A,5,N/A,N/A,1.3060,,N/A,5,1.2930,,N/A,5,1.3940,,N/A,5,0.3640,,N/A,5,0.5650,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ELMHURST HOSPITAL CENTER,330128,NY,2023,N/A,5,N/A,5,N/A,N/A,0.8870,,N/A,5,0.7900,,N/A,5,2.6540,,N/A,5,0.3570,,N/A,5,0.5460,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BON SECOURS COMMUNITY HOSPITAL,330135,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,0.2390,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BASSETT HEALTHCARE,330136,NY,2023,N/A,5,N/A,5,N/A,N/A,1.2150,,N/A,5,2.0350,,N/A,5,0.1740,,N/A,5,0.4720,,N/A,5,0.7370,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,2023,N/A,5,N/A,5,N/A,N/A,0.3790,,N/A,5,0.6420,,N/A,5,0.8290,,N/A,5,0.2950,,N/A,5,0.4490,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
LONG ISLAND COMMUNITY HOSPITAL,330141,NY,2023,N/A,5,N/A,5,N/A,N/A,1.3080,,N/A,5,0.2340,,N/A,5,1.1870,,N/A,5,0.6760,,N/A,5,1.7370,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
IRA DAVENPORT MEMORIAL HOSPITAL,330144,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST JAMES MERCY HOSPITAL,330151,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ELLIS HOSPITAL,330153,NY,2023,N/A,5,N/A,5,N/A,N/A,0.6730,,N/A,5,0.5330,,N/A,5,0.4760,,N/A,5,0.3720,,N/A,5,0.9240,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SAMARITAN MEDICAL CENTER,330157,NY,2023,N/A,5,N/A,5,N/A,N/A,1.1810,,N/A,5,0.6130,,N/A,5,1.2400,,N/A,5,0.5990,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GOOD SAMARITAN HOSPITAL OF SUFFERN,330158,NY,2023,N/A,5,N/A,5,N/A,N/A,0.5250,,N/A,5,1.3440,,N/A,5,0.3880,,N/A,5,0.3390,,N/A,5,0.3460,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
STATEN ISLAND UNIVERSITY HOSPITAL,330160,NY,2023,N/A,5,N/A,5,N/A,N/A,0.3390,,N/A,5,0.6670,,N/A,5,0.5980,,N/A,5,0.9340,,N/A,5,1.5600,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHERN WESTCHESTER HOSPITAL,330162,NY,2023,N/A,5,N/A,5,N/A,N/A,0.7730,,N/A,5,0.0000,,N/A,5,1.2530,,N/A,5,0.1620,,N/A,5,0.6830,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EASTERN NIAGARA HOSPITAL - LOCKPORT DIVISION,330163,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HIGHLAND HOSPITAL,330164,NY,2023,N/A,5,N/A,5,N/A,N/A,1.5210,,N/A,5,1.1940,,N/A,5,1.3870,,N/A,5,0.6690,,N/A,5,0.6560,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"WESTFIELD MEMORIAL HOSPITAL, INC",330166,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MOUNT SINAI BETH ISRAEL,330169,NY,2023,N/A,5,N/A,5,N/A,N/A,1.0540,,N/A,5,0.2060,,N/A,5,0.3420,,N/A,5,0.1610,,N/A,5,2.1210,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GUTHRIE CORTLAND REGIONAL MEDICAL CENTER,330175,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.6150,,N/A,5,N/A,13,N/A,5,1.0410,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"SAMARITAN HOSPITAL OF TROY, NEW YORK",330180,NY,2023,N/A,5,N/A,5,N/A,N/A,1.1790,,N/A,5,1.2180,,N/A,5,1.2980,,N/A,5,0.4940,,N/A,5,1.0810,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHWELL HOSPITAL GLEN COVE,330181,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.6850,,N/A,5,N/A,13,N/A,5,0.2520,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST FRANCIS HOSPITAL - THE HEART CENTER,330182,NY,2023,N/A,5,N/A,5,N/A,N/A,0.7330,,N/A,5,0.5240,,N/A,5,0.9030,,N/A,5,0.3110,,N/A,5,1.1500,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MONTEFIORE NEW ROCHELLE HOSPITAL,330184,NY,2023,N/A,5,N/A,5,N/A,N/A,4.6350,,N/A,5,0.4780,,N/A,5,N/A,13,N/A,5,0.9380,,N/A,5,2.3190,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,330185,NY,2023,N/A,5,N/A,5,N/A,N/A,0.2130,,N/A,5,0.4660,,N/A,5,0.2020,,N/A,5,0.2170,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MOUNT ST. MARY'S HOSPITAL & HEALTH CENTER,330188,NY,2023,N/A,5,N/A,5,N/A,N/A,1.4000,,N/A,5,0.4380,,N/A,5,2.1770,,N/A,5,0.0000,,N/A,5,0.9680,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GLENS FALLS HOSPITAL,330191,NY,2023,N/A,5,N/A,5,N/A,N/A,0.8290,,N/A,5,0.1690,,N/A,5,0.6580,,N/A,5,0.3680,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
FLUSHING HOSPITAL MEDICAL CENTER,330193,NY,2023,N/A,5,N/A,5,N/A,N/A,1.3620,,N/A,5,0.2700,,N/A,5,0.0000,,N/A,5,0.5530,,N/A,5,1.3550,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MAIMONIDES MEDICAL CENTER,330194,NY,2023,N/A,5,N/A,5,N/A,N/A,1.5880,,N/A,5,0.5460,,N/A,5,0.9740,,N/A,5,0.6810,,N/A,5,2.2400,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
LONG ISLAND JEWISH MEDICAL CENTER,330195,NY,2023,N/A,5,N/A,5,N/A,N/A,0.8190,,N/A,5,0.7000,,N/A,5,0.6470,,N/A,5,0.4000,,N/A,5,1.2900,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NYC HEALTH + HOSPITALS/CONEY ISLAND,330196,NY,2023,N/A,5,N/A,5,N/A,N/A,2.1150,,N/A,5,1.3720,,N/A,5,0.5020,,N/A,5,0.5570,,N/A,5,1.8960,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CANTON-POTSDAM HOSPITAL,330197,NY,2023,N/A,5,N/A,5,N/A,N/A,3.9780,,N/A,5,0.8540,,N/A,5,2.5430,,N/A,5,1.2590,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MOUNT SINAI SOUTH NASSAU,330198,NY,2023,N/A,5,N/A,5,N/A,N/A,1.2090,,N/A,5,0.4300,,N/A,5,1.7880,,N/A,5,0.4650,,N/A,5,0.3740,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
METROPOLITAN HOSPITAL CENTER,330199,NY,2023,N/A,5,N/A,5,N/A,N/A,0.3010,,N/A,5,0.4040,,N/A,5,0.0000,,N/A,5,0.3560,,N/A,5,1.3980,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
KINGS COUNTY HOSPITAL CENTER,330202,NY,2023,N/A,5,N/A,5,N/A,N/A,0.5030,,N/A,5,1.6420,,N/A,5,1.8970,,N/A,5,0.4200,,N/A,5,1.5610,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CROUSE HOSPITAL,330203,NY,2023,N/A,5,N/A,5,N/A,N/A,0.7660,,N/A,5,0.1630,,N/A,5,0.8790,,N/A,5,0.2740,,N/A,5,0.6390,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BELLEVUE HOSPITAL CENTER,330204,NY,2023,N/A,5,N/A,5,N/A,N/A,1.8730,,N/A,5,2.4900,,N/A,5,0.4990,,N/A,5,0.7200,,N/A,5,0.6230,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST ANTHONY COMMUNITY HOSPITAL,330205,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.3610,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST JOHN'S RIVERSIDE HOSPITAL,330208,NY,2023,N/A,5,N/A,5,N/A,N/A,1.5870,,N/A,5,1.0040,,N/A,5,1.4460,,N/A,5,0.4600,,N/A,5,0.9690,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CLAXTON-HEPBURN MEDICAL CENTER,330211,NY,2023,N/A,5,N/A,5,N/A,N/A,1.2400,,N/A,5,3.0410,,N/A,5,N/A,13,N/A,5,1.0420,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NYU  LANGONE HOSPITALS,330214,NY,2023,N/A,5,N/A,5,N/A,N/A,0.8670,,N/A,5,0.3910,,N/A,5,0.6650,,N/A,5,0.5150,,N/A,5,0.8560,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"ROME MEMORIAL HOSPITAL, INC",330215,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.3820,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
OSWEGO HOSPITAL,330218,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.5930,,N/A,5,N/A,13,N/A,5,0.7760,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ERIE COUNTY MEDICAL CENTER,330219,NY,2023,N/A,5,N/A,5,N/A,N/A,0.6570,,N/A,5,0.3770,,N/A,5,1.5310,,N/A,5,0.7600,,N/A,5,1.2230,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WYCKOFF HEIGHTS MEDICAL CENTER,330221,NY,2023,N/A,5,N/A,5,N/A,N/A,1.0690,,N/A,5,0.1960,,N/A,5,2.2540,,N/A,5,0.3140,,N/A,5,0.3640,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SARATOGA HOSPITAL,330222,NY,2023,N/A,5,N/A,5,N/A,N/A,1.0190,,N/A,5,1.0320,,N/A,5,0.4480,,N/A,5,0.4660,,N/A,5,0.9620,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MASSENA HOSPITAL INC,330223,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.7590,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,330224,NY,2023,N/A,5,N/A,5,N/A,N/A,1.5350,,N/A,5,1.3120,,N/A,5,N/A,13,N/A,5,0.2930,,N/A,5,1.9670,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
UNITY HOSPITAL,330226,NY,2023,N/A,5,N/A,5,N/A,N/A,0.1690,,N/A,5,0.8370,,N/A,5,0.4630,,N/A,5,0.6390,,N/A,5,0.6630,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"BROOKS-TLC HOSPITAL SYSTEM, INC",330229,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,1.5550,,N/A,5,N/A,13,N/A,5,0.6610,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
QUEENS HOSPITAL CENTER,330231,NY,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.4900,,N/A,5,1.3570,,N/A,5,0.6260,,N/A,5,0.3420,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BROOKDALE HOSPITAL MEDICAL CENTER,330233,NY,2023,N/A,5,N/A,5,N/A,N/A,0.9240,,N/A,5,0.3190,,N/A,5,0.9050,,N/A,5,0.1230,,N/A,5,1.1900,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WESTCHESTER MEDICAL CENTER,330234,NY,2023,N/A,5,N/A,5,N/A,N/A,1.0680,,N/A,5,0.5820,,N/A,5,0.4690,,N/A,5,0.7290,,N/A,5,1.1790,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
AUBURN  COMMUNITY  HOSPITAL,330235,NY,2023,N/A,5,N/A,5,N/A,N/A,1.2630,,N/A,5,0.7910,,N/A,5,0.0000,,N/A,5,0.4100,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NEW YORK-PRESBYTERIAN/BROOKLYN METHODIST HOSPITAL,330236,NY,2023,N/A,5,N/A,5,N/A,N/A,0.3220,,N/A,5,0.5330,,N/A,5,1.0020,,N/A,5,0.5080,,N/A,5,0.3310,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NICHOLAS H NOYES MEMORIAL HOSPITAL,330238,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,0.3480,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
UPMC CHAUTAUQUA AT WCA,330239,NY,2023,N/A,5,N/A,5,N/A,N/A,0.7680,,N/A,5,1.1770,,N/A,5,2.1050,,N/A,5,0.2920,,N/A,5,2.3330,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HARLEM HOSPITAL CENTER,330240,NY,2023,N/A,5,N/A,5,N/A,N/A,0.5380,,N/A,5,1.4500,,N/A,5,0.0000,,N/A,5,0.2850,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,330241,NY,2023,N/A,5,N/A,5,N/A,N/A,0.2430,,N/A,5,1.0510,,N/A,5,1.6510,,N/A,5,0.5580,,N/A,5,0.6690,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST ELIZABETH MEDICAL CENTER,330245,NY,2023,N/A,5,N/A,5,N/A,N/A,0.1850,,N/A,5,0.6610,,N/A,5,0.4340,,N/A,5,1.2990,,N/A,5,2.5280,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST CHARLES HOSPITAL,330246,NY,2023,N/A,5,N/A,5,N/A,N/A,2.4950,,N/A,5,2.5860,,N/A,5,0.0000,,N/A,5,0.3230,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,330250,NY,2023,N/A,5,N/A,5,N/A,N/A,1.1420,,N/A,5,2.4570,,N/A,5,0.7050,,N/A,5,1.1760,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MERCY MEDICAL CENTER,330259,NY,2023,N/A,5,N/A,5,N/A,N/A,0.9240,,N/A,5,0.2080,,N/A,5,0.9570,,N/A,5,0.2740,,N/A,5,0.6290,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PHELPS MEMORIAL HOSPITAL CENTER,330261,NY,2023,N/A,5,N/A,5,N/A,N/A,1.1010,,N/A,5,1.6530,,N/A,5,1.0980,,N/A,5,0.4110,,N/A,5,1.3770,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST LUKE'S CORNWALL HOSPITAL,330264,NY,2023,N/A,5,N/A,5,N/A,N/A,0.1810,,N/A,5,1.2360,,N/A,5,0.0000,,N/A,5,0.6920,,N/A,5,1.9570,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CLIFTON SPRINGS HOSPITAL AND CLINIC,330265,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.1580,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HUDSON VALLEY HOSPITAL CENTER,330267,NY,2023,N/A,5,N/A,5,N/A,N/A,1.7860,,N/A,5,2.1200,,N/A,5,0.0000,,N/A,5,0.6930,,N/A,5,1.8260,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HOSPITAL FOR SPECIAL SURGERY,330270,NY,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,1.3990,,N/A,5,N/A,12,N/A,5,0.4040,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PUTNAM HOSPITAL CENTER,330273,NY,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.0000,,N/A,5,1.1860,,N/A,5,0.7400,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NATHAN LITTAUER HOSPITAL,330276,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CORNING HOSPITAL,330277,NY,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,1.1830,,N/A,5,N/A,13,N/A,5,0.3450,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MERCY HOSPITAL OF BUFFALO,330279,NY,2023,N/A,5,N/A,5,N/A,N/A,0.5700,,N/A,5,0.2160,,N/A,5,0.4100,,N/A,5,0.4990,,N/A,5,0.5620,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
STRONG MEMORIAL HOSPITAL,330285,NY,2023,N/A,5,N/A,5,N/A,N/A,1.3140,,N/A,5,1.2220,,N/A,5,2.3010,,N/A,5,0.8530,,N/A,5,0.8120,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,330286,NY,2023,N/A,5,N/A,5,N/A,N/A,0.3850,,N/A,5,0.5840,,N/A,5,1.0720,,N/A,5,0.4480,,N/A,5,1.8550,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WHITE PLAINS HOSPITAL CENTER,330304,NY,2023,N/A,5,N/A,5,N/A,N/A,0.7630,,N/A,5,0.7640,,N/A,5,0.4290,,N/A,5,0.2000,,N/A,5,0.2550,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
