"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
MD,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,31,0,15,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_CABG,Rate of readmission for CABG,0,10,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,41,2,4,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,41,3,4,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,35,1,9,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,35,10,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,42,1,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,5,1,23
ME,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,24,1,7
ME,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,22,6,2
ME,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,19,0,6,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,1,13,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,17,0,13,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,17,0,7,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,10,0,23,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,29,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,25,2,7,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,18,0,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,31,2,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,31,1,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,41,10,58
MI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,14,64,23,23
MI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,24,57,31,14
MI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,107,1,10,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,69,1,43,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,69,0,43,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,90,2,21,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,52,0,58,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_CABG,Rate of readmission for CABG,0,31,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,97,0,28,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,6,89,6,23,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,85,0,29,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),10,104,8,11,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,111,0,14,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,13,3,72
MN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,11,41,2,71
MN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,10,51,4,60
MN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,75,0,22,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,44,0,59,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,45,0,59,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,46,0,47,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,21,0,72,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_CABG,Rate of readmission for CABG,0,13,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,34,0,87,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,50,4,71,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,50,0,38,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,102,3,18,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,65,0,60,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,8,29,13,36
MO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,11,55,14,29
MO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,13,70,18,10
MO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,89,0,4,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,4,36,0,46,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,40,0,46,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,63,1,22,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,50,0,36,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_CABG,Rate of readmission for CABG,0,26,0,6,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,82,0,26,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,77,2,29,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,61,0,17,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,97,4,2,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,100,0,10,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
MP,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,19,3,34
MS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,10,38,13,29
MS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,45,21,21
MS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,47,0,12,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,16,0,26,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,17,0,26,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,34,1,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,23,0,34,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_CABG,Rate of readmission for CABG,0,14,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,53,0,35,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,58,0,29,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,25,0,10,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,79,1,9,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,69,0,21,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,5,0,19
MT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,16,1,37
MT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,20,1,35
MT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,17,0,7,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,17,0,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,17,0,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,13,1,11,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,9,0,19,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_CABG,Rate of readmission for CABG,0,5,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,18,0,39,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,21,0,37,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,21,0,6,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,40,2,20,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,26,0,35,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,40,6,49
NC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,72,17,11
NC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,14,65,21,6
NC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,89,0,7,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,47,1,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,49,0,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,80,5,11,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,50,1,49,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_CABG,Rate of readmission for CABG,0,22,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,93,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,91,3,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,3,75,0,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),6,96,6,1,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,98,2,6,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,5,0,17
ND,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,11,2,27
ND,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,22,1,20
ND,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,17,0,6,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,7,0,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,8,0,10,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,17,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_CABG,Rate of readmission for CABG,0,6,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,33,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,15,1,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,11,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,32,3,8,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,24,0,20,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,13,2,31
NE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,24,1,53
NE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,8,44,4,29
NE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,59,0,17,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,14,0,51,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,15,0,51,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,29,1,44,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,16,0,31,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_CABG,Rate of readmission for CABG,0,8,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,26,0,57,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,30,1,53,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,37,0,21,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,76,3,10,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,56,0,29,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,6,4,13
NH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,14,6,3
NH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,17,5,0
NH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,17,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,8,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,15,0,8,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,13,0,4,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_CABG,Rate of readmission for CABG,0,4,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,22,0,4,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,21,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
